LOTUS FEATURE ROADMAP																																	
				"M&Ms
(Mar 31 – Jun 23)"						"Beta Launch Prep
(Jun 23 – Jul 21)"		"M&C
(Jul 21 – Oct 13)"						"Live Ops & Social
(Oct 13 – Feb 2)"								"Soft Launch
(Feb 2 – May 30)"							
				S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
Pod	Feature	Est.	Status	3/31 – 4/13	4/14 – 4/27	4/28 – 5/11	5/12 – 5/25	5/26 – 6/8	6/9 – 6/22	6/23 – 7/6	7/7 – 7/20	7/21 – 8/3	8/4 – 8/17	8/18 – 8/31	9/1 – 9/14	9/15 – 9/28	9/29 – 10/12	10/13 – 10/26	10/27 – 11/9	11/10 – 11/23	11/24 – 12/7	12/8 – 12/21	12/22 – 1/4	1/5 – 1/18	1/19 – 2/1	2/2 – 2/15	2/16 – 3/1	3/2 – 3/15	3/16 – 3/29	3/30 – 4/12	4/13 – 4/26	4/27 – 5/10	5/11 – 5/29
	Dev Phase			Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Polish	Polish	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Iteration & Refinement	Scale	Scale	Scale	Scale	Scale	Scale	Scale	Scale
	Validation			SHQ validation, internal playtesting, super user testing						Beta quality bar, stability		D0-D7 retention, D0-D1 conversion, LTV baseline						D0-D14 retention, D0-D14 LTV								D0-D30 retention, D0-D30 LTV, UA metrics							
																																	
EMPIRE																																	
	Pod Lead: Diana Vasilescu | Producer: Brann Livesay | Eng: Gabriel, Henrique, Marcos T. | Design: Diana, Elise, Jacob																																
	Governors	3 spr	IN PROGRESS	■	■	■																											
	Territory Map Vertical Slice	2 spr	NOT STARTED				■	■																									
	WM Building Upgrades	1 spr	NOT STARTED						■																								
	Flex / Beta Prep	3 spr	NOT STARTED							■	■	■																					
	World Map Vertical Slice	1 spr	NOT STARTED										■																				
	WM Zoom & LOD	1 spr	NOT STARTED											■																			
	Conquest Guide Full Screen	0.5 spr	NOT STARTED												■																		
	Barrier & Story Iterations	0.5 spr	NOT STARTED												■																		
	Map Content (Design/Art)	Ongoing	IN PROGRESS	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–	–
																																	
METAGAME																																	
	Pod Lead: Leonard Perez | Producer: Tim Williams | Eng: Dan Dupuis, Guilherme Q. | Design: Leonard, Chris F. | UX: Kevin L., Yura R. | UI: Miguel D.																																
	— M&Ms: Pipeline A (UI Foundation) —																																
	UI Foundation	6 spr	IN PROGRESS	■	■	■	■	■	■																								
	— M&Ms: Pipeline B (Systems) —																																
	Building Upgrades	1 spr	NOT STARTED	■																													
